idx,parent_idx,label,section,seg,nseg,area_um2,C_m_pF,g_L_nS,e_L_mV,g_C_nS,gbnca_nS,gbnca_density,gbirk_nS,gbirk_density,gbkqt3_nS,gbkqt3_density,gbegl2_nS,gbegl2_density,gbshk1_nS,gbshk1_density,gbkvs1_nS,gbkvs1_density,gbshl1_nS,gbshl1_density,gbegl36_nS,gbegl36_density,gbegl19_nS,gbegl19_density,gbcca1_nS,gbcca1_density,gbunc2_nS,gbunc2_density,gbkcnl_nS,gbkcnl_density,gbslo1_egl19_nS,gbslo1_egl19_density,gbslo1_unc2_nS,gbslo1_unc2_density,gbslo2_egl19_nS,gbslo2_egl19_density,gbslo2_unc2_nS,gbslo2_unc2_density
0,-1,Soma[0],Soma,0,,11.34114974529077,0.7938804821703539,0.0015877609643407077,-54.5,0.0,0.009639977283497154,8.5e-05,0.12475264719819848,0.0011,0.05670574872645385,0.0005,0.1134114974529077,0.001,0.05330340380286662,0.00047,0.05670574872645385,0.0005,0.1134114974529077,0.001,0.05557163375192477,0.00049,0.011341149745290768,0.0001,0.019279954566994308,0.00017,0.0,0.0,0.07144924339533185,0.00063,0.03175521928681415,0.00028,0.01973360055680594,0.000174,0.17011724617936153,0.0015,0.24950529439639696,0.0022
1,0,Soma[1],Soma,1,,11.34114974529077,0.7938804821703539,0.0015877609643407077,-54.5,1569.0478961771635,0.009639977283497154,8.5e-05,0.12475264719819848,0.0011,0.05670574872645385,0.0005,0.1134114974529077,0.001,0.05330340380286662,0.00047,0.05670574872645385,0.0005,0.1134114974529077,0.001,0.05557163375192477,0.00049,0.011341149745290768,0.0001,0.019279954566994308,0.00017,0.0,0.0,0.07144924339533185,0.00063,0.03175521928681415,0.00028,0.01973360055680594,0.000174,0.17011724617936153,0.0015,0.24950529439639696,0.0022
2,1,Axon[0],Axon,0,,4.7785065464003615,0.3344954582480253,0.0006689909164960506,-54.5,38.59099694067985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,Axon[1],Axon,1,,4.509677896003939,0.3156774527202758,0.0006313549054405515,-54.5,16.00283971841126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,Axon[2],Axon,2,,4.5264161704195205,0.3168491319293664,0.0006336982638587329,-54.5,16.122075650872308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,Axon[3],Axon,3,,4.543154444835098,0.31802081113845687,0.0006360416222769138,-54.5,16.24175414348978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,Axon[4],Axon,4,,4.559892719250676,0.3191924903475473,0.0006383849806950947,-54.5,16.361875196265004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,Axon[5],Axon,5,,4.56238372914876,0.3193668610404132,0.0006387337220808264,-54.5,16.482438809196793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,Axon[6],Axon,6,,4.156031372418807,0.2909221960693166,0.0005818443921386331,-54.5,15.229618270299067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,Axon[7],Axon,7,,4.6344929315687295,0.3244145052098111,0.0006488290104196222,-54.5,14.24638404201343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9,Axon[8],Axon,8,,4.6093554292917585,0.3226548800504231,0.0006453097601008462,-54.5,17.69448528155559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10,Axon[9],Axon,9,,4.605432630736971,0.322380284151588,0.000644760568303176,-54.5,16.523544883457458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,11,Axon[10],Axon,10,,4.609501687726104,0.3226651181408273,0.0006453302362816546,-54.5,16.475597120071107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,12,Axon[11],Axon,11,,5.110012509262612,0.3577008756483828,0.0007154017512967657,-54.5,18.645943050014647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,13,Axon[12],Axon,12,,5.2157688081725135,0.36510381657207597,0.000730207633144152,-54.5,21.061955916328625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,14,Axon[13],Axon,13,,5.327721935966808,0.3729405355176766,0.0007458810710353532,-54.5,22.303745167830108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
