idx,parent_idx,label,section,seg,nseg,area_um2,C_m_pF,g_L_nS,e_L_mV,g_C_nS,gbnca_nS,gbnca_density,gbirk_nS,gbirk_density,gbkqt3_nS,gbkqt3_density,gbegl2_nS,gbegl2_density,gbshk1_nS,gbshk1_density,gbkvs1_nS,gbkvs1_density,gbshl1_nS,gbshl1_density,gbegl36_nS,gbegl36_density,gbegl19_nS,gbegl19_density,gbcca1_nS,gbcca1_density,gbunc2_nS,gbunc2_density,gbkcnl_nS,gbkcnl_density,gbslo1_unc2_nS,gbslo1_unc2_density
0,-1,Soma[0],Soma,0,2,4.948008234642791,0.3958406587714233,0.003463605764249954,-33.0,0.0,0.03463605764249954,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.049480082346427916,0.001,0.0,0.0,0.019792032938571166,0.0004,0.0,0.0,0.09896016469285583,0.002,0.029688049407856743,0.0006,0.004948008234642792,0.0001,0.24740041173213959,0.005,2.9688049407856747,0.06
1,0,Soma[1],Soma,1,2,4.948008234642791,0.3958406587714233,0.003463605764249954,-33.0,1858.5912418851938,0.03463605764249954,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.049480082346427916,0.001,0.0,0.0,0.019792032938571166,0.0004,0.0,0.0,0.09896016469285583,0.002,0.029688049407856743,0.0006,0.004948008234642792,0.0001,0.24740041173213959,0.005,2.9688049407856747,0.06
2,1,Axon[0],Axon,0,42,27.16777786176432,2.173422228941146,0.019017444503235024,-33.0,11.774045933486091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,Axon[1],Axon,1,42,26.199322056282615,2.095945764502609,0.01833952543939783,-33.0,8.241534984575582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,Axon[2],Axon,2,42,23.911970230115465,1.9129576184092372,0.016738379161080823,-33.0,5.767714615753715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,Axon[3],Axon,3,42,23.947073199520634,1.9157658559616508,0.016762951239664443,-33.0,5.6888760524530735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,Axon[4],Axon,4,42,26.32119181106502,2.1056953448852016,0.01842483426774551,-33.0,5.953479500645445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,Axon[5],Axon,5,42,27.469176504801606,2.1975341203841285,0.019228423553361122,-33.0,7.4853630330012395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,Axon[6],Axon,6,42,27.469176504801606,2.1975341203841285,0.019228423553361122,-33.0,7.485363033001252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,Axon[7],Axon,7,42,26.043297772506705,2.083463821800536,0.018230308440754694,-33.0,7.474667306142008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
