idx,parent_idx,label,section,seg,nseg,area_um2,C_m_pF,g_L_nS,e_L_mV,g_C_nS,gbnca_nS,gbnca_density,gbirk_nS,gbirk_density,gbkqt3_nS,gbkqt3_density,gbegl2_nS,gbegl2_density,gbshk1_nS,gbshk1_density,gbkvs1_nS,gbkvs1_density,gbshl1_nS,gbshl1_density,gbegl36_nS,gbegl36_density,gbegl19_nS,gbegl19_density,gbcca1_nS,gbcca1_density,gbunc2_nS,gbunc2_density,gbkcnl_nS,gbkcnl_density,gbslo1_egl19_nS,gbslo1_egl19_density,gbslo1_unc2_nS,gbslo1_unc2_density,gbslo2_egl19_nS,gbslo2_egl19_density,gbslo2_unc2_nS,gbslo2_unc2_density
0,-1,Soma[0],Soma,0,2,12.032300727350703,0.24064601454701406,0.003609690218205211,-65.0,0.0,0.0,0.0,0.0,0.0,2.6471061600171546,0.022,0.0,0.0,0.0,0.0,0.0,0.0,3.128398189111183,0.026,0.0,0.0,0.7219380436410422,0.006,0.0,0.0,0.12032300727350703,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,Soma[1],Soma,1,2,12.032300727350703,0.24064601454701406,0.003609690218205211,-65.0,1144.0649505942813,0.0,0.0,0.0,0.0,2.6471061600171546,0.022,0.0,0.0,0.0,0.0,0.0,0.0,3.128398189111183,0.026,0.0,0.0,0.7219380436410422,0.006,0.0,0.0,0.12032300727350703,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,Axon[0],Axon,0,22,4.643787008396231,0.09287574016792463,0.0013931361025188694,-65.0,50.970585817239744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,Axon[1],Axon,1,22,4.237339406396188,0.08474678812792377,0.0012712018219188566,-65.0,17.479584433405776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,Axon[2],Axon,2,22,4.085656731718737,0.08171313463437474,0.0012256970195156213,-65.0,17.979263518949818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,Axon[3],Axon,3,22,4.020352784651406,0.08040705569302811,0.0012061058353954217,-65.0,15.34830055938564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,Axon[4],Axon,4,22,4.4925353043558784,0.08985070608711757,0.0013477605913067637,-65.0,18.66014836352991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,Axon[5],Axon,5,22,4.5048093712861945,0.09009618742572388,0.0013514428113858582,-65.0,20.943498643143066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,Axon[6],Axon,6,22,3.692518510560408,0.07385037021120816,0.0011077555531681226,-65.0,15.62777832534799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,Axon[7],Axon,7,22,3.9519021856821057,0.0790380437136421,0.0011855706557046316,-65.0,14.601431490767458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,9,Axon[8],Axon,8,22,3.9430034310777318,0.07886006862155463,0.0011829010293233195,-65.0,16.060624031389864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,10,Axon[9],Axon,9,22,3.7581707967805573,0.07516341593561114,0.0011274512390341673,-65.0,14.855669177626588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,11,Axon[10],Axon,10,22,3.54091232987248,0.0708182465974496,0.001062273698961744,-65.0,13.49060531302817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
