pre_neuron,muscle_name,muscle_index,quadrant,segment,weight,sign,source
IL1DL,dBWML1,0,DL,1,11.0,1,Cook2019_SI5
RMDDR,dBWML1,0,DL,1,2.0,1,Cook2019_SI5
RMEV,dBWML1,0,DL,1,1.0,1,Cook2019_SI5
SABD,dBWML1,0,DL,1,15.0,1,Cook2019_SI5
SMBDR,dBWML1,0,DL,1,5.0,1,Cook2019_SI5
SMDDL,dBWML1,0,DL,1,4.0,1,Cook2019_SI5
SMDVL,dBWML1,0,DL,1,3.0,1,Cook2019_SI5
URADL,dBWML1,0,DL,1,2.0,1,Cook2019_SI5
IL1DL,dBWML2,1,DL,2,4.0,1,Cook2019_SI5
RMDDR,dBWML2,1,DL,2,12.0,1,Cook2019_SI5
RMEV,dBWML2,1,DL,2,5.0,1,Cook2019_SI5
SMBDR,dBWML2,1,DL,2,11.0,1,Cook2019_SI5
SMDDL,dBWML2,1,DL,2,3.0,1,Cook2019_SI5
SMDDR,dBWML2,1,DL,2,3.0,1,Cook2019_SI5
SMDVL,dBWML2,1,DL,2,3.0,1,Cook2019_SI5
URADL,dBWML2,1,DL,2,7.0,1,Cook2019_SI5
ADEL,dBWML3,2,DL,3,1.0,1,Cook2019_SI5
IL1DL,dBWML3,2,DL,3,5.0,1,Cook2019_SI5
IL1L,dBWML3,2,DL,3,16.0,1,Cook2019_SI5
RMDDR,dBWML3,2,DL,3,1.0,1,Cook2019_SI5
RMDL,dBWML3,2,DL,3,1.0,1,Cook2019_SI5
RMDVR,dBWML3,2,DL,3,5.0,1,Cook2019_SI5
RMER,dBWML3,2,DL,3,45.0,1,Cook2019_SI5
RMHR,dBWML3,2,DL,3,1.0,1,Cook2019_SI5
SAADR,dBWML3,2,DL,3,7.0,1,Cook2019_SI5
SABD,dBWML3,2,DL,3,67.0,1,Cook2019_SI5
IL1L,dBWML4,3,DL,4,15.0,1,Cook2019_SI5
RMDDR,dBWML4,3,DL,4,17.0,1,Cook2019_SI5
RMER,dBWML4,3,DL,4,4.0,1,Cook2019_SI5
RMGL,dBWML4,3,DL,4,7.0,1,Cook2019_SI5
RMHR,dBWML4,3,DL,4,7.0,1,Cook2019_SI5
SAADR,dBWML4,3,DL,4,3.0,1,Cook2019_SI5
SABD,dBWML4,3,DL,4,63.0,1,Cook2019_SI5
SMBDR,dBWML4,3,DL,4,3.0,1,Cook2019_SI5
ADEL,dBWML5,4,DL,5,1.0,1,Cook2019_SI5
BDUL,dBWML5,4,DL,5,3.0,1,Cook2019_SI5
CEPDL,dBWML5,4,DL,5,2.0,1,Cook2019_SI5
IL1L,dBWML5,4,DL,5,7.0,1,Cook2019_SI5
RIFL,dBWML5,4,DL,5,2.0,1,Cook2019_SI5
RIMR,dBWML5,4,DL,5,15.0,1,Cook2019_SI5
RMDL,dBWML5,4,DL,5,2.0,1,Cook2019_SI5
RMDR,dBWML5,4,DL,5,2.0,1,Cook2019_SI5
RMGL,dBWML5,4,DL,5,1.0,1,Cook2019_SI5
RMHR,dBWML5,4,DL,5,8.0,1,Cook2019_SI5
SIADR,dBWML5,4,DL,5,8.0,1,Cook2019_SI5
SIBDR,dBWML5,4,DL,5,3.0,1,Cook2019_SI5
SMBDR,dBWML5,4,DL,5,20.0,1,Cook2019_SI5
SMDDR,dBWML5,4,DL,5,11.0,1,Cook2019_SI5
AS01,dBWML6,5,DL,6,4.0,1,Cook2019_SI5
DA01,dBWML6,5,DL,6,9.0,1,Cook2019_SI5
DB01,dBWML6,5,DL,6,3.0,1,Cook2019_SI5
