idx,parent_idx,label,section,seg,nseg,area_um2,C_m_pF,g_L_nS,e_L_mV,g_C_nS,gbnca_nS,gbnca_density,gbirk_nS,gbirk_density,gbkqt3_nS,gbkqt3_density,gbegl2_nS,gbegl2_density,gbshk1_nS,gbshk1_density,gbkvs1_nS,gbkvs1_density,gbshl1_nS,gbshl1_density,gbegl36_nS,gbegl36_density,gbegl19_nS,gbegl19_density,gbcca1_nS,gbcca1_density,gbunc2_nS,gbunc2_density,gbkcnl_nS,gbkcnl_density,gbslo1_egl19_nS,gbslo1_egl19_density,gbslo1_unc2_nS,gbslo1_unc2_density,gbslo2_egl19_nS,gbslo2_egl19_density,gbslo2_unc2_nS,gbslo2_unc2_density
0,-1,Soma[0],Soma,0,2,10.178760099492836,0.4071504039797134,0.007837645276609484,-33.0,0.0,0.0009160884089543552,9e-06,0.10687698104467477,0.00105,0.005089380049746418,5e-05,0.0010178760099492836,1e-05,0.015268140149239252,0.00015,0.010178760099492836,0.0001,0.10178760099492837,0.001,0.12214512119391402,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013232388129340686,1.3e-05,0.9160884089543552,0.009,0.068197692666602,0.00067,0.0,0.0
1,0,Soma[1],Soma,1,2,10.178760099492836,0.4071504039797134,0.007837645276609484,-33.0,1162.3821584495342,0.0009160884089543552,9e-06,0.10687698104467477,0.00105,0.005089380049746418,5e-05,0.0010178760099492836,1e-05,0.015268140149239252,0.00015,0.010178760099492836,0.0001,0.10178760099492837,0.001,0.12214512119391402,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013232388129340686,1.3e-05,0.9160884089543552,0.009,0.068197692666602,0.00067,0.0,0.0
2,1,Axon[0],Axon,0,10,2.7249241609956205,0.10899696643982483,0.002098191603966628,-33.0,42.935632266522454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,Axon[1],Axon,1,10,2.8597114348351385,0.11438845739340554,0.002201977804823057,-33.0,22.342799054073957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,Axon[2],Axon,2,10,2.786536976943185,0.1114614790777274,0.002145633472246252,-33.0,24.204033074557938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,Axon[3],Axon,3,10,2.5954682658778396,0.10381873063511358,0.001998510564725937,-33.0,21.279407434510244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,Axon[4],Axon,4,10,2.404399554812496,0.09617598219249984,0.001851387657205622,-33.0,18.361212567987163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,Axon[5],Axon,5,10,2.3463089265275503,0.09385235706110201,0.0018066578734262139,-33.0,15.657844343390076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,Axon[6],Axon,6,10,2.6152825810955345,0.10461130324382138,0.0020137675874435613,-33.0,18.457218045714722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,Axon[7],Axon,7,10,2.67873396124075,0.10714935844963,0.0020626251501553775,-33.0,20.613420189073477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
