component_id,connection_id,pre,post,pre_compartment,post_compartment,placement_policy,component_type,fenyves_polarity_raw,effective_polarity,polarity_policy,connection_class,connection_source,anatomical_weight,cook_weight,fenyves_weight,weight_source,normalized_weight,rho,g0_uS,g_uS,e_rev_mV,tau_ms,v_half_mV,k_s_mV,active_in_v0,evidence
ADAL__ADAL__inh,ADAL__ADAL,ADAL,ADAL,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,6.0,6.0,6.0,Cook2019_SI5,0.3920957221168144,1.0,0.0002,7.841914442336289e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__ADLL__inh,ADAL__ADLL,ADAL,ADLL,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.0002,4.427349113327269e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AIAL__exc,ADAL__AIAL,ADAL,AIAL,0,0,soma_compartment_0_v0,exc,complex,complex,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,0.5,0.00049,5.423502663825904e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AIAL__inh,ADAL__AIAL,ADAL,AIAL,0,0,soma_compartment_0_v0,inh,complex,complex,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,0.5,0.0002,2.2136745566636345e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AIBL__exc,ADAL__AIBL,ADAL,AIBL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.00049,0.00010847005327651808,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AIBR__exc,ADAL__AIBR,ADAL,AIBR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.00049,0.00010847005327651808,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVAL__exc,ADAL__AVAL,ADAL,AVAL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,0.2793346285046384,1.0,0.00049,0.00013687396796727283,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVAR__exc,ADAL__AVAR,ADAL,AVAR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,7.0,7.0,7.0,Cook2019_SI5,0.41900194275695757,1.0,0.00049,0.0002053109519509092,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVBL__exc,ADAL__AVBL,ADAL,AVBL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,5.0,5.0,5.0,Cook2019_SI5,0.3610347699186826,1.0,0.00049,0.00017690703726015448,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVBR__exc,ADAL__AVBR,ADAL,AVBR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,21.0,21.0,21.0,Cook2019_SI5,0.6228368372669439,1.0,0.00049,0.0003051900502608025,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVDL__exc,ADAL__AVDL,ADAL,AVDL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.00049,6.843698398363641e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVDR__exc,ADAL__AVDR,ADAL,AVDR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.00049,0.00010847005327651808,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVEL__exc,ADAL__AVEL,ADAL,AVEL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,0.2793346285046384,1.0,0.00049,0.00013687396796727283,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__AVJR__exc,ADAL__AVJR,ADAL,AVJR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,11.0,11.0,11.0,Cook2019_SI5,0.5007020841710018,1.0,0.00049,0.0002453440212437909,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__PVPL__inh,ADAL__PVPL,ADAL,PVPL,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.0002,2.7933462850463843e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__RICL__exc,ADAL__RICL,ADAL,RICL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,0.2793346285046384,1.0,0.00049,0.00013687396796727283,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__RICR__exc,ADAL__RICR,ADAL,RICR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.00049,6.843698398363641e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__RID__inh,ADAL__RID,ADAL,RID,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,fenyves_only,1.0,,1.0,Fenyves2020_only,0.1396673142523192,1.0,0.0002,2.7933462850463843e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__RIML__exc,ADAL__RIML,ADAL,RIML,0,0,soma_compartment_0_v0,exc,complex,complex,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,9.0,9.0,9.0,Cook2019_SI5,0.4639647751522413,0.5,0.00049,0.00011367136991229912,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__RIML__inh,ADAL__RIML,ADAL,RIML,0,0,soma_compartment_0_v0,inh,complex,complex,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,9.0,9.0,9.0,Cook2019_SI5,0.4639647751522413,0.5,0.0002,4.6396477515224134e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__RIPL__inh,ADAL__RIPL,ADAL,RIPL,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,4.0,4.0,4.0,Cook2019_SI5,0.32429746089992206,1.0,0.0002,6.485949217998441e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__SMDVR__exc,ADAL__SMDVR,ADAL,SMDVR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,0.2793346285046384,1.0,0.00049,0.00013687396796727283,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__URAVL__exc,ADAL__URAVL,ADAL,URAVL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.00049,6.843698398363641e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAL__URXL__inh,ADAL__URXL,ADAL,URXL,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.0002,4.427349113327269e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AIBL__exc,ADAR__AIBL,ADAR,AIBL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.00049,6.843698398363641e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AIBR__exc,ADAR__AIBR,ADAR,AIBR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,0.2793346285046384,1.0,0.00049,0.00013687396796727283,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__ASHR__inh,ADAR__ASHR,ADAR,ASHR,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.0002,4.427349113327269e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVAR__exc,ADAR__AVAR,ADAR,AVAR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,8.0,8.0,8.0,Cook2019_SI5,0.44273491133272685,1.0,0.00049,0.00021694010655303616,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVBL__exc,ADAR__AVBL,ADAR,AVBL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,8.0,8.0,8.0,Cook2019_SI5,0.44273491133272685,1.0,0.00049,0.00021694010655303616,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVBR__exc,ADAR__AVBR,ADAR,AVBR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,15.0,15.0,15.0,Cook2019_SI5,0.5586692570092768,1.0,0.00049,0.00027374793593454565,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVDL__exc,ADAR__AVDL,ADAR,AVDL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,0.22136745566636343,1.0,0.00049,0.00010847005327651808,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVDR__exc,ADAR__AVDR,ADAR,AVDR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,0.2793346285046384,1.0,0.00049,0.00013687396796727283,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVEL__exc,ADAR__AVEL,ADAR,AVEL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.00049,6.843698398363641e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__AVJL__exc,ADAR__AVJL,ADAR,AVJL,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,13.0,13.0,13.0,Cook2019_SI5,0.5317630363691336,1.0,0.00049,0.00026056388782087547,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__PVR__inh,ADAR__PVR,ADAR,PVR,0,0,soma_compartment_0_v0,inh,no pred,-,fenyves_no_pred_default_inhibitory,neuron_to_neuron,cook_si5_and_fenyves,6.0,6.0,6.0,Cook2019_SI5,0.3920957221168144,1.0,0.0002,7.841914442336289e-05,-70.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
ADAR__RIFR__exc,ADAR__RIFR,ADAR,RIFR,0,0,soma_compartment_0_v0,exc,+,+,fenyves_sign_prediction,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,0.1396673142523192,1.0,0.00049,6.843698398363641e-05,30.0,10.0,-20.0,5.0,True,Cook2019_SI5_structure__Fenyves2020_polarity
