connection_id,pre,post,connection_class,connection_source,anatomical_weight,cook_weight,fenyves_weight,weight_source,fenyves_polarity_raw,effective_polarity,polarity_policy,active_in_v0,pre_is_neuron,post_is_neuron,has_cook_si5_connection,has_fenyves_sign_row,scored_contact_count,has_scored_contact
ADAL__ADAL,ADAL,ADAL,neuron_to_neuron,cook_si5_and_fenyves,6.0,6.0,6.0,Cook2019_SI5,no pred,-,fenyves_no_pred_default_inhibitory,True,True,True,True,True,1.0,True
ADAL__ADLL,ADAL,ADLL,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,no pred,-,fenyves_no_pred_default_inhibitory,True,True,True,True,True,2.0,True
ADAL__AIAL,ADAL,AIAL,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,complex,complex,fenyves_sign_prediction,True,True,True,True,True,0.0,False
ADAL__AIBL,ADAL,AIBL,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,1.0,True
ADAL__AIBR,ADAL,AIBR,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,2.0,True
ADAL__AVAL,ADAL,AVAL,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,2.0,True
ADAL__AVAR,ADAL,AVAR,neuron_to_neuron,cook_si5_and_fenyves,7.0,7.0,7.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,1.0,True
ADAL__AVBL,ADAL,AVBL,neuron_to_neuron,cook_si5_and_fenyves,5.0,5.0,5.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,5.0,True
ADAL__AVBR,ADAL,AVBR,neuron_to_neuron,cook_si5_and_fenyves,21.0,21.0,21.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,7.0,True
ADAL__AVDL,ADAL,AVDL,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,1.0,True
ADAL__AVDR,ADAL,AVDR,neuron_to_neuron,cook_si5_and_fenyves,2.0,2.0,2.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,2.0,True
ADAL__AVEL,ADAL,AVEL,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,2.0,True
ADAL__AVJR,ADAL,AVJR,neuron_to_neuron,cook_si5_and_fenyves,11.0,11.0,11.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,10.0,True
ADAL__PVPL,ADAL,PVPL,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,no pred,-,fenyves_no_pred_default_inhibitory,True,True,True,True,True,1.0,True
ADAL__RICL,ADAL,RICL,neuron_to_neuron,cook_si5_and_fenyves,3.0,3.0,3.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,3.0,True
ADAL__RICR,ADAL,RICR,neuron_to_neuron,cook_si5_and_fenyves,1.0,1.0,1.0,Cook2019_SI5,+,+,fenyves_sign_prediction,True,True,True,True,True,1.0,True
