gap_id,cell_a,cell_b,compartment_a,compartment_b,placement_policy,anatomical_weight,normalized_weight,g0_uS,g_uS,active_in_v0,evidence
I1L__I2L,I1L,I2L,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I1L__M3L,I1L,M3L,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I1L__MCR,I1L,MCR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I1L__NSML,I1L,NSML,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
I1L__RIPL,I1L,RIPL,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I1R__I2R,I1R,I2R,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I1R__I3,I1R,I3,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I1R__MCR,I1R,MCR,0,0,soma_compartment_0_v0,4.0,0.2683983610056247,0.0001,2.683983610056247e-05,True,Cook2019_SI5_gap_junction
I1R__NSMR,I1R,NSMR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I1R__RIPR,I1R,RIPR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I2L__I4,I2L,I4,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I2L__M2L,I2L,M2L,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I2R__M1,I2R,M1,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I2R__M2R,I2R,M2R,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I2R__MCR,I2R,MCR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I2R__NSMR,I2R,NSMR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I3__M1,I3,M1,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I3__M2R,I3,M2R,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I3__MI,I3,MI,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I4__M2R,I4,M2R,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
I4__M4,I4,M4,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I5__M2L,I5,M2L,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I5__M2R,I5,M2R,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I5__M5,I5,M5,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
I6__M4,I6,M4,0,0,soma_compartment_0_v0,5.0,0.2988032661227676,0.0001,2.988032661227676e-05,True,Cook2019_SI5_gap_junction
M2L__M4,M2L,M4,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
M2L__MCL,M2L,MCL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
M2R__M3R,M2R,M3R,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
M2R__MCR,M2R,MCR,0,0,soma_compartment_0_v0,11.0,0.41439614843321004,0.0001,4.1439614843321005e-05,True,Cook2019_SI5_gap_junction
M2R__MI,M2R,MI,0,0,soma_compartment_0_v0,5.0,0.2988032661227676,0.0001,2.988032661227676e-05,True,Cook2019_SI5_gap_junction
M3L__NSMR,M3L,NSMR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
M3R__NSMR,M3R,NSMR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
M4__M5,M4,M5,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
NSML__NSMR,NSML,NSMR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
ASIL__ASIR,ASIL,ASIR,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
ASIL__AINR,ASIL,AINR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASIL__AIAL,ASIL,AIAL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASIR__ASGR,ASIR,ASGR,0,0,soma_compartment_0_v0,4.0,0.2683983610056247,0.0001,2.683983610056247e-05,True,Cook2019_SI5_gap_junction
ASIR__AIYR,ASIR,AIYR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASIR__AIAL,ASIR,AIAL,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
ASIR__AIAR,ASIR,AIAR,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
ASJL__ASJR,ASJL,ASJR,0,0,soma_compartment_0_v0,7.0,0.3467786469313273,0.0001,3.4677864693132736e-05,True,Cook2019_SI5_gap_junction
ASJL__IL2L,ASJL,IL2L,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASJL__AIAL,ASJL,AIAL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASJL__ALA,ASJL,ALA,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
ASJL__PVQL,ASJL,PVQL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASJL__SMDDR,ASJL,SMDDR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASJR__AIMR,ASJR,AIMR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASJR__PVQR,ASJR,PVQR,0,0,soma_compartment_0_v0,5.0,0.2988032661227676,0.0001,2.988032661227676e-05,True,Cook2019_SI5_gap_junction
AWAL__AWAR,AWAL,AWAR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
AWAL__ADLL,AWAL,ADLL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
AWAL__AIAL,AWAL,AIAL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
AWAL__AIZL,AWAL,AIZL,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
AWAR__ADFR,AWAR,ADFR,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
AWAR__AIAR,AWAR,AIAR,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
AWAR__AIZR,AWAR,AIZR,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
ASGL__AWBL,ASGL,AWBL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASGL__ASEL,ASGL,ASEL,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
ASGL__AINR,ASGL,AINR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASGL__AIML,ASGL,AIML,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASGL__AIZL,ASGL,AIZL,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
ASGL__SMDDR,ASGL,SMDDR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
ASGR__ASER,ASGR,ASER,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
ASGR__ADFR,ASGR,ADFR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASGR__AWCR,ASGR,AWCR,0,0,soma_compartment_0_v0,2.0,0.18321038381232518,0.0001,1.8321038381232518e-05,True,Cook2019_SI5_gap_junction
ASGR__ADLR,ASGR,ADLR,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASGR__AINL,ASGR,AINL,0,0,soma_compartment_0_v0,1.0,0.11559288231044244,0.0001,1.1559288231044245e-05,True,Cook2019_SI5_gap_junction
ASGR__AIAR,ASGR,AIAR,0,0,soma_compartment_0_v0,3.0,0.2311857646208849,0.0001,2.311857646208849e-05,True,Cook2019_SI5_gap_junction
