baai_index,neuron,functional_group,parameter_reference,reference_cell,evidence
1,I1L,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
2,I1R,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
3,I2L,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
4,I2R,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
5,I3,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
6,I4,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
7,I5,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
8,I6,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
9,M1,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
10,M2L,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
11,M2R,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
12,M3L,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
13,M3R,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
14,M4,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
15,M5,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
16,MCL,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
17,MCR,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
18,MI,body motor neuron,VD5,VD05,BAAIWorm_Supplementary_Table_4
19,NSML,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
20,NSMR,interneuron,AIY,AIYL,BAAIWorm_Supplementary_Table_4
21,ASIL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
22,ASIR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
23,ASJL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
24,ASJR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
25,AWAL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
26,AWAR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
27,ASGL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
28,ASGR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
29,AWBL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
30,AWBR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
31,ASEL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
32,ASER,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
33,ADFL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
34,ADFR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
35,AFDL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
36,AFDR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
37,AWCL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
38,AWCR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
39,ASKL,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
40,ASKR,sensory neuron,AWC,AWCL,BAAIWorm_Supplementary_Table_4
