idx,parent_idx,label,section,seg,nseg,area_um2,C_m_pF,g_L_nS,e_L_mV,g_C_nS,gbnca_nS,gbnca_density,gbirk_nS,gbirk_density,gbkqt3_nS,gbkqt3_density,gbegl2_nS,gbegl2_density,gbshk1_nS,gbshk1_density,gbkvs1_nS,gbkvs1_density,gbshl1_nS,gbshl1_density,gbegl36_nS,gbegl36_density,gbegl19_nS,gbegl19_density,gbcca1_nS,gbcca1_density,gbunc2_nS,gbunc2_density,gbkcnl_nS,gbkcnl_density,gbslo1_egl19_nS,gbslo1_egl19_density,gbslo1_unc2_nS,gbslo1_unc2_density,gbslo2_egl19_nS,gbslo2_egl19_density,gbslo2_unc2_nS,gbslo2_unc2_density
0,-1,Soma[0],Soma,0,2,19.634956240481625,0.3926991248096325,0.009817478120240811,-75.0,0.0,0.029452434360722438,0.00015,0.0,0.0,0.0314159299847706,0.00016,0.19634956240481627,0.001,1.0799225932264893,0.0055,0.0,0.0,0.19634956240481627,0.001,0.9032079870621547,0.0046,0.019634956240481626,0.0001,0.29452434360722435,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.7853982496192651,0.004,0.2552544311262611,0.0013,0.11780973744288975,0.0006
1,0,Soma[1],Soma,1,2,19.634956240481625,0.3926991248096325,0.009817478120240811,-75.0,2512.9429762615796,0.029452434360722438,0.00015,0.0,0.0,0.0314159299847706,0.00016,0.19634956240481627,0.001,1.0799225932264893,0.0055,0.0,0.0,0.19634956240481627,0.001,0.9032079870621547,0.0046,0.019634956240481626,0.0001,0.29452434360722435,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.7853982496192651,0.004,0.2552544311262611,0.0013,0.11780973744288975,0.0006
2,1,Axon[0],Axon,0,5,13.231621242385959,0.26463242484771915,0.00661581062119298,-75.0,29.99035290495482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,Axon[1],Axon,1,5,12.392928088321705,0.24785856176643412,0.006196464044160853,-75.0,13.902252451178317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3,Axon[2],Axon,2,5,12.050145416631208,0.2410029083326242,0.006025072708315605,-75.0,12.216001594783704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,Axon[3],Axon,3,5,12.579148976259319,0.2515829795251864,0.006289574488129659,-75.0,12.763123962116222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5,Axon[4],Axon,4,5,13.11697453632001,0.2623394907264002,0.0065584872681600055,-75.0,13.903253506982491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6,Neurite2[0],Neurite2,0,14,7.661224484423795,0.1532244896884759,0.0038306122422118974,-75.0,11.857089330838187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7,Neurite2[1],Neurite2,1,14,11.275691309528337,0.22551382619056676,0.005637845654764169,-75.0,17.577073030708668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,8,Neurite2[2],Neurite2,2,14,12.344307042132469,0.24688614084264937,0.006172153521066235,-75.0,33.29060750884656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
